"filename", "language", "JSON", "JavaScript", "Markdown", "Shell Script", "CSS", "HTML", "Properties", "Ignore", "YAML", "XML", "comment", "blank", "total"
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\tomorrow-night-eighties.css", "CSS", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 9, 6, 39
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\ttcn.css", "CSS", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 3, 6, 65
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\twilight.css", "CSS", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\vibrant-ink.css", "CSS", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 5, 35
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\xq-dark.css", "CSS", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 22, 3, 54
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\xq-light.css", "CSS", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 22, 2, 44
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\yeti.css", "CSS", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 8, 4, 45
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\yonce.css", "CSS", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 8, 5, 60
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\codemirror\theme\zenburn.css", "CSS", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 9, 2, 38
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\controller.js", "JavaScript", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20, 107
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\index.html", "HTML", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 11, 72
"c:\Users\fjvem\Desktop\graph-width-visualizer\public\style.css", "CSS", 0, 0, 0, 0, 898, 0, 0, 0, 0, 0, 14, 167, 1079
"c:\Users\fjvem\Desktop\graph-width-visualizer\src\app.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 39
"c:\Users\fjvem\Desktop\graph-width-visualizer\src\runtreealgo.sh", "Shell Script", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 3
"c:\Users\fjvem\Desktop\graph-width-visualizer\src\writeGraph.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"c:\Users\fjvem\Desktop\graph-width-visualizer\src\writeTreeDecomposition.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 50
"Total", "-", 2996, 76183, 1272, 7, 4189, 23565, 14, 14, 5, 19, 6506, 13575, 128345
